工号,姓名,刷卡时间,门禁点,部门
030103,沈刚悦,2026-03-13 08:59:58,A座-闸机,星云科技/技术平台中心/应用研发部
30353,曹涛天,2026-04-13 09:52:34,A座-闸机,商业化中心/销售二部
30174,李丽刚,2026-04-29 09:48:43,A座-闸机,技术平台中心/应用研发部
30425,尤涛丽,2026-04-21 10:40:25,A座-闸机,星云科技/用户增长中心/内容运营部
30548,吴丽,2026-04-26 10:05:52,A座-闸机,商业化中心/商业产品部
030274,杨丽,2026-04-10 09:50:18,A座-闸机,商业化中心/商业产品部
030063,华宇,2026-03-30 08:12:20,A座-闸机,技术平台中心/应用研发部
030461,赵平丽,2026-04-22 09:29:11,A座-闸机,职能线/人力资源部
030369,孔悦刚,2026-04-27 09:13:14,A座-闸机,星云科技/商业化中心/商业产品部
30298,韩静明,2026-04-21 08:44:21,A座-闸机,商业化中心/销售一部
030088,许敏敏,2026-04-29 08:20:01,A座-闸机,技术平台中心/基础架构部
30177,朱超,2026-04-13 09:28:11,A座-闸机,星云科技/技术平台/数据智能部
30344,曹志,2026-03-10 09:15:20,A座-闸机,星云科技/商业化中心/销售二部
030231,王英兰,2026-03-23 09:43:57,A座-闸机,商业化中心/商业产品部
30428,陶丽英,2026-04-06 10:17:57,A座-闸机,用户增长/内容运营部
030337,许明华,2026-04-08 08:20:04,A座-闸机,星云科技/商业化中心/销售一部
030048,李浩超,2026-03-26 09:47:54,A座-闸机,技术平台中心/数据智能部
30351,赵天英,2026-04-13 08:53:53,A座-闸机,星云科技/商业化中心/商业产品部
30214,孙悦,2026-03-18 09:06:44,A座-闸机,星云科技/商业化中心/销售二部
30310,褚丽,2026-03-03 08:38:06,A座-闸机,星云科技/商业化中心/销售二部
30065,秦悦欣,2026-03-20 10:32:10,A座-闸机,星云科技/技术平台/应用研发部
30544,曹华,2026-04-22 09:36:55,A座-闸机,职能线/财务部
030142,秦明萍,2026-03-23 08:32:38,A座-闸机,星云科技/技术平台/数据智能部
030465,韩悦娟,2026-04-01 08:20:27,A座-闸机,星云科技/职能线/人力资源部
30275,吴娟娟,2026-03-23 10:01:40,A座-闸机,商业化中心/销售一部
030276,周晨,2026-03-06 10:58:16,A座-闸机,星云科技/商业化中心/商业产品部
30411,孔玉平,2026-03-02 09:58:22,A座-闸机,星云科技/用户增长中心/内容运营部
030352,吴军,2026-03-03 09:53:52,A座-闸机,星云科技/商业化中心/销售一部
30071,吕超华,2026-03-05 08:35:12,A座-闸机,星云科技/技术平台/应用研发部
30028,卫艳,2026-03-17 08:17:41,A座-闸机,技术平台中心/基础架构部
030301,华艳伟,2026-04-15 09:11:12,A座-闸机,商业化中心/商业产品部
30239,褚军,2026-03-24 08:02:00,A座-闸机,星云科技/商业化中心/商业产品部
30204,钱杰强,2026-04-27 08:31:17,A座-闸机,星云科技/技术平台中心/应用研发部
030540,韩伟斌,2026-04-26 08:42:08,A座-闸机,技术平台中心/数据智能部
30511,朱娟,2026-03-13 09:14:56,A座-闸机,星云科技/职能线/人力资源部
30057,郑涛浩,2026-03-05 08:26:29,A座-闸机,技术平台中心/基础架构部
030339,李静勇,2026-03-16 08:24:48,A座-闸机,星云科技/商业化中心/销售二部
30049,冯军,2026-04-09 08:21:39,A座-闸机,技术平台中心/应用研发部
30184,褚平,2026-03-13 09:47:05,A座-闸机,星云科技/技术平台/应用研发部
030398,陈桂,2026-03-09 10:55:37,A座-闸机,星云科技/用户增长中心/市场部
030111,蒋斌娟,2026-04-14 10:35:29,A座-闸机,星云科技/技术平台/基础架构部
30034,韩浩晨,2026-04-21 09:10:05,A座-闸机,技术平台中心/应用研发部
030175,许宇强,2026-04-30 10:04:45,A座-闸机,星云科技/技术平台中心/基础架构部
30370,沈芳丽,2026-03-17 10:46:05,A座-闸机,星云科技/商业化中心/商业产品部
30456,孙娟娜,2026-03-03 09:17:41,A座-闸机,用户增长/市场部
030189,朱曦曦,2026-04-07 08:00:36,A座-闸机,星云科技/技术平台/应用研发部
30198,褚杰,2026-03-19 08:35:29,A座-闸机,星云科技/技术平台中心/数据智能部
30136,孔军萍,2026-03-16 08:31:11,A座-闸机,星云科技/技术平台/应用研发部
30138,钱娟,2026-03-13 10:55:59,A座-闸机,技术平台中心/应用研发部
30009,吴涛曦,2026-03-30 09:01:12,A座-闸机,星云科技/技术平台/基础架构部
030157,陶曦,2026-03-02 10:22:20,A座-闸机,星云科技/技术平台/应用研发部
030207,秦强志,2026-04-09 08:52:38,A座-闸机,星云科技/技术平台中心/基础架构部
30372,韩华斌,2026-04-07 10:20:44,A座-闸机,星云科技/用户增长中心/内容运营部
030140,李娟,2026-03-11 08:52:28,A座-闸机,技术平台中心/数据智能部
30371,张丽,2026-04-08 10:07:52,A座-闸机,用户增长/市场部
030397,王伟,2026-04-14 08:38:23,A座-闸机,星云科技/用户增长中心/市场部
030127,吕秀,2026-04-24 08:07:53,A座-闸机,星云科技/技术平台中心/应用研发部
030157,陶曦,2026-03-27 10:40:18,A座-闸机,星云科技/技术平台/应用研发部
030330,魏军超,2026-03-25 08:14:14,A座-闸机,商业化中心/销售一部
30079,卫刚,2026-04-08 10:54:29,A座-闸机,星云科技/技术平台/应用研发部
030198,褚杰,2026-03-08 07:24:42,A座-闸机,星云科技/技术平台/数据智能部
030175,许宇强,2026-04-16 08:57:46,A座-闸机,星云科技/技术平台/基础架构部
30158,姜华,2026-03-09 09:12:39,A座-闸机,星云科技/技术平台中心/数据智能部
30475,施娟洋,2026-04-01 09:00:21,A座-闸机,职能线/财务部
030375,杨怡强,2026-04-08 08:04:39,A座-闸机,用户增长/市场部
030279,吴宇,2026-03-21 14:43:25,A座-闸机,星云科技/商业化中心/销售二部
30060,赵超,2026-04-11 11:48:44,A座-闸机,星云科技/技术平台中心/基础架构部
30297,秦浩,2026-03-20 09:45:04,A座-闸机,星云科技/商业化中心/商业产品部
030436,许刚,2026-04-29 10:07:50,A座-闸机,用户增长/市场部
030373,郑军,2026-03-12 09:44:36,A座-闸机,用户增长/内容运营部
30434,张红,2026-03-30 10:18:18,A座-闸机,星云科技/用户增长中心/市场部
30303,孙宇,2026-04-17 08:22:10,A座-闸机,商业化中心/商业产品部
30497,沈红敏,2026-03-05 08:27:28,A座-闸机,职能线/行政法务部
30141,魏强,2026-03-03 09:45:30,A座-闸机,技术平台中心/基础架构部
30266,秦娟勇,2026-03-02 08:11:31,A座-闸机,星云科技/商业化中心/商业产品部
030235,何悦华,2026-03-30 10:06:12,A座-闸机,星云科技/商业化中心/销售二部
030032,沈刚艳,2026-03-20 09:34:58,A座-闸机,星云科技/技术平台中心/基础架构部
030451,孙兰,2026-04-24 09:40:45,A座-闸机,用户增长/市场部
30475,施娟洋,2026-04-02 08:14:32,A座-闸机,星云科技/职能线/财务部
30354,尤伟艳,2026-03-04 10:35:09,A座-闸机,商业化中心/商业产品部
30473,何磊,2026-03-05 09:24:32,A座-闸机,星云科技/职能线/财务部
30288,韩敏,2026-04-09 09:38:59,A座-闸机,商业化中心/商业产品部
030436,许刚,2026-03-23 08:27:43,A座-闸机,星云科技/用户增长中心/市场部
030155,陶超,2026-03-12 08:42:05,A座-闸机,星云科技/技术平台中心/应用研发部
030368,许玉磊,2026-03-18 09:26:13,A座-闸机,商业化中心/销售一部
30168,陶磊,2026-04-06 08:56:18,A座-闸机,星云科技/技术平台中心/基础架构部
30377,周磊,2026-03-05 10:16:50,A座-闸机,星云科技/用户增长中心/内容运营部
30466,魏志志,2026-04-03 10:57:17,A座-闸机,星云科技/职能线/行政法务部
30489,钱洋敏,2026-04-26 09:49:07,A座-闸机,职能线/人力资源部
030502,吕刚,2026-04-06 10:15:55,A座-闸机,职能线/财务部
30244,曹悦曦,2026-03-24 09:30:08,A座-闸机,商业化中心/商业产品部
030004,蒋静萍,2026-03-04 09:29:10,A座-闸机,星云科技/技术平台中心/应用研发部
030238,许怡,2026-04-07 09:35:39,A座-闸机,星云科技/商业化中心/销售一部
030266,秦娟勇,2026-04-26 10:19:59,A座-闸机,商业化中心/商业产品部
30419,陶桂杰,2026-04-27 10:52:09,A座-闸机,星云科技/用户增长中心/内容运营部
30479,尤娟,2026-04-26 08:04:28,A座-闸机,星云科技/职能线/行政法务部
030009,吴涛曦,2026-03-10 09:00:08,A座-闸机,星云科技/技术平台中心/基础架构部
30100,施娟,2026-04-22 09:44:51,A座-闸机,星云科技/技术平台中心/数据智能部
030084,李兰,2026-04-07 08:21:12,A座-闸机,星云科技/技术平台/应用研发部
30192,秦军娟,2026-04-22 08:02:06,A座-闸机,星云科技/技术平台/基础架构部
030284,李宇,2026-03-24 10:34:55,A座-闸机,商业化中心/销售一部
30363,郑秀磊,2026-04-20 08:07:50,A座-闸机,星云科技/商业化中心/销售一部
030491,张刚,2026-04-16 08:33:01,A座-闸机,职能线/财务部
30280,杨杰宇,2026-04-03 10:14:54,A座-闸机,商业化中心/商业产品部
030425,尤涛丽,2026-03-02 09:15:51,A座-闸机,星云科技/用户增长中心/内容运营部
30499,吴萍,2026-04-17 10:52:38,A座-闸机,职能线/人力资源部
030362,曹杰敏,2026-04-20 10:45:03,A座-闸机,商业化中心/销售二部
30505,郑曦军,2026-03-17 08:53:49,A座-闸机,职能线/行政法务部
030476,王洋,2026-04-28 10:43:42,A座-闸机,星云科技/职能线/人力资源部
30458,杨娟涛,2026-03-10 09:21:24,A座-闸机,用户增长/市场部
30360,曹浩,2026-04-27 08:00:11,A座-闸机,星云科技/商业化中心/商业产品部
30459,魏娜平,2026-04-22 10:53:02,A座-闸机,星云科技/用户增长中心/市场部
030216,何欣,2026-04-02 08:30:35,A座-闸机,星云科技/商业化中心/销售二部
030178,卫霞怡,2026-04-29 09:15:00,A座-闸机,星云科技/技术平台中心/数据智能部
30299,钱丽,2026-03-02 08:48:12,A座-闸机,星云科技/商业化中心/销售二部
030019,施悦,2026-03-12 08:12:41,A座-闸机,星云科技/技术平台中心/应用研发部
30515,魏兰,2026-03-27 08:00:18,A座-闸机,星云科技/职能线/行政法务部
030501,李刚,2026-03-25 10:18:13,A座-闸机,星云科技/职能线/财务部
30278,周英娜,2026-04-08 09:45:13,A座-闸机,商业化中心/销售二部
30149,施敏磊,2026-03-06 08:23:42,A座-闸机,星云科技/技术平台中心/基础架构部
30257,魏秀,2026-03-17 09:11:45,A座-闸机,星云科技/商业化中心/商业产品部
30413,韩刚秀,2026-04-20 10:54:40,A座-闸机,星云科技/用户增长中心/内容运营部
30027,华曦晨,2026-04-21 10:41:58,A座-闸机,星云科技/技术平台/应用研发部
30393,孙勇军,2026-04-23 09:39:25,A座-闸机,用户增长/内容运营部
30466,魏志志,2026-04-07 08:06:18,A座-闸机,职能线/行政法务部
30275,吴娟娟,2026-04-17 10:01:38,A座-闸机,星云科技/商业化中心/销售一部
30122,郑强浩,2026-03-08 14:24:05,A座-闸机,星云科技/技术平台/基础架构部
030199,沈曦怡,2026-04-29 10:14:07,A座-闸机,星云科技/技术平台中心/数据智能部
030169,秦萍,2026-03-27 10:26:59,A座-闸机,星云科技/技术平台中心/数据智能部
030189,朱曦曦,2026-04-22 09:32:21,A座-闸机,技术平台中心/应用研发部
30389,冯曦曦,2026-04-01 09:43:07,A座-闸机,星云科技/用户增长中心/市场部
30068,朱萍,2026-04-07 10:24:18,A座-闸机,星云科技/技术平台/应用研发部
030469,尤斌芳,2026-03-18 09:42:25,A座-闸机,星云科技/职能线/行政法务部
30004,蒋静萍,2026-03-20 09:53:24,A座-闸机,技术平台中心/应用研发部
30043,孙娜,2026-04-17 08:37:51,A座-闸机,星云科技/技术平台中心/基础架构部
30504,褚红娜,2026-03-12 10:20:14,A座-闸机,职能线/人力资源部
30327,尤芳,2026-03-16 10:49:58,A座-闸机,商业化中心/销售一部
30032,沈刚艳,2026-04-20 09:44:08,A座-闸机,星云科技/技术平台中心/基础架构部
30413,韩刚秀,2026-04-07 10:37:33,A座-闸机,用户增长/内容运营部
30094,施强欣,2026-03-09 10:44:56,A座-闸机,星云科技/技术平台中心/数据智能部
030188,李英,2026-03-04 08:10:49,A座-闸机,星云科技/技术平台中心/应用研发部
30329,秦玉,2026-03-02 08:17:42,A座-闸机,星云科技/商业化中心/销售一部
030040,冯强强,2026-03-04 09:34:45,A座-闸机,技术平台中心/应用研发部
30434,张红,2026-03-13 10:24:16,A座-闸机,星云科技/用户增长中心/市场部
30305,金宇志,2026-03-30 09:38:27,A座-闸机,商业化中心/销售一部
30113,尤娜超,2026-04-14 10:48:46,A座-闸机,星云科技/技术平台/基础架构部
030280,杨杰宇,2026-03-10 09:23:55,A座-闸机,商业化中心/商业产品部
30026,张刚,2026-04-29 10:00:19,A座-闸机,技术平台中心/基础架构部
30157,陶曦,2026-03-30 08:35:19,A座-闸机,星云科技/技术平台/应用研发部
030163,蒋艳娟,2026-04-13 09:31:40,A座-闸机,星云科技/技术平台/应用研发部
30534,王军,2026-03-21 14:24:00,A座-闸机,星云科技/商业化中心
30380,孔勇,2026-03-18 08:52:41,A座-闸机,用户增长/内容运营部
030456,孙娟娜,2026-03-17 09:42:54,A座-闸机,用户增长/市场部
30281,王悦超,2026-03-31 10:34:23,A座-闸机,星云科技/商业化中心/销售一部
30521,姜欣英,2026-04-24 09:38:50,A座-闸机,
030396,朱艳,2026-03-25 10:29:14,A座-闸机,用户增长/市场部
30328,秦浩志,2026-03-07 13:14:18,A座-闸机,商业化中心/销售二部
30469,尤斌芳,2026-03-27 09:23:46,A座-闸机,职能线/行政法务部
030354,尤伟艳,2026-03-26 10:53:09,A座-闸机,星云科技/商业化中心/商业产品部
30353,曹涛天,2026-04-16 09:52:14,A座-闸机,商业化中心/销售二部
30518,曹艳芳,2026-03-30 10:24:57,A座-闸机,星云科技/职能线/人力资源部
030344,曹志,2026-03-27 10:11:28,A座-闸机,商业化中心/销售二部
30390,朱霞,2026-03-26 09:01:53,A座-闸机,星云科技/用户增长中心/市场部
30383,吕芳军,2026-03-20 08:14:30,A座-闸机,用户增长/市场部
30479,尤娟,2026-04-22 08:48:50,A座-闸机,星云科技/职能线/行政法务部
030456,孙娟娜,2026-04-04 13:44:27,A座-闸机,用户增长/市场部
30148,王丽斌,2026-04-12 14:15:38,A座-闸机,星云科技/技术平台中心/应用研发部
030433,严娟,2026-03-03 08:15:03,A座-闸机,用户增长/市场部
30140,李娟,2026-04-30 09:54:36,A座-闸机,星云科技/技术平台中心/数据智能部
30232,周军浩,2026-04-17 08:59:58,A座-闸机,商业化中心/商业产品部
030042,韩红军,2026-03-24 09:57:29,A座-闸机,星云科技/技术平台/应用研发部
030390,朱霞,2026-03-09 10:24:25,A座-闸机,星云科技/用户增长中心/市场部
30351,赵天英,2026-03-26 10:49:28,A座-闸机,星云科技/商业化中心/商业产品部
30161,陈超,2026-04-28 10:24:48,A座-闸机,星云科技/技术平台/数据智能部
30275,吴娟娟,2026-03-17 08:44:51,A座-闸机,星云科技/商业化中心/销售一部
30250,施洋红,2026-04-10 09:42:46,A座-闸机,商业化中心/销售二部
30206,金勇志,2026-03-12 08:40:39,A座-闸机,星云科技/技术平台/基础架构部
030378,魏芳刚,2026-04-27 09:56:21,A座-闸机,用户增长/市场部
30067,韩明,2026-03-19 08:59:59,A座-闸机,技术平台中心/应用研发部
030370,沈芳丽,2026-04-26 09:57:09,A座-闸机,星云科技/商业化中心/商业产品部
030433,严娟,2026-03-19 08:13:29,A座-闸机,用户增长/市场部
30540,韩伟斌,2026-04-20 08:36:33,A座-闸机,技术平台中心/数据智能部
30241,尤磊秀,2026-04-10 10:02:13,A座-闸机,星云科技/商业化中心/销售一部
30133,褚华,2026-03-02 09:05:52,A座-闸机,星云科技/技术平台/数据智能部
30350,尤杰,2026-04-06 08:55:42,A座-闸机,商业化中心/销售一部
30162,何丽伟,2026-04-01 08:25:11,A座-闸机,星云科技/技术平台/应用研发部
30471,孙秀刚,2026-03-05 09:52:38,A座-闸机,星云科技/职能线/人力资源部
30297,秦浩,2026-04-29 08:04:18,A座-闸机,商业化中心/商业产品部
030390,朱霞,2026-04-16 09:42:45,A座-闸机,用户增长/市场部
030439,郑华欣,2026-03-17 09:20:14,A座-闸机,星云科技/用户增长中心/市场部
030020,金刚芳,2026-04-14 10:16:42,A座-闸机,星云科技/技术平台/数据智能部
30218,姜英超,2026-04-23 08:44:41,A座-闸机,商业化中心/商业产品部
030189,朱曦曦,2026-03-17 09:51:14,A座-闸机,技术平台中心/应用研发部
30040,冯强强,2026-04-02 10:46:17,A座-闸机,星云科技/技术平台中心/应用研发部
30390,朱霞,2026-03-17 08:54:03,A座-闸机,用户增长/市场部
030292,吴晨天,2026-04-07 09:57:48,A座-闸机,商业化中心/销售二部
30425,尤涛丽,2026-03-04 08:51:20,A座-闸机,用户增长/内容运营部
30344,曹志,2026-04-02 10:01:07,A座-闸机,星云科技/商业化中心/销售二部
30547,王兰华,2026-04-28 08:27:53,A座-闸机,商业化中心/销售一部
30484,卫军,2026-04-01 10:12:00,A座-闸机,星云科技/职能线/行政法务部
30159,吴华兰,2026-04-07 10:13:59,A座-闸机,技术平台中心/应用研发部
030223,郑志,2026-04-09 09:50:25,A座-闸机,星云科技/商业化中心/销售二部
30416,钱英玉,2026-03-16 09:01:31,A座-闸机,用户增长/市场部
030237,秦曦,2026-03-19 08:51:56,A座-闸机,星云科技/商业化中心/商业产品部
030100,施娟,2026-04-16 10:31:55,A座-闸机,星云科技/技术平台/数据智能部
30248,曹华,2026-04-20 10:16:04,A座-闸机,星云科技/商业化中心/销售一部
30048,李浩超,2026-04-10 09:09:12,A座-闸机,星云科技/技术平台/数据智能部
30259,魏怡斌,2026-03-20 08:24:39,A座-闸机,星云科技/商业化中心/销售一部
30189,朱曦曦,2026-03-27 10:32:53,A座-闸机,技术平台中心/应用研发部
30434,张红,2026-04-11 08:12:44,A座-闸机,用户增长/市场部
030212,魏平静,2026-03-25 09:44:04,A座-闸机,商业化中心/销售一部
030334,沈洋勇,2026-03-05 08:42:33,A座-闸机,星云科技/商业化中心/销售二部
30032,沈刚艳,2026-03-30 08:51:03,A座-闸机,技术平台中心/基础架构部
30406,沈涛,2026-04-27 09:12:59,A座-闸机,用户增长/内容运营部
30256,金志霞,2026-03-06 10:35:25,A座-闸机,商业化中心/销售一部
30436,许刚,2026-04-30 10:38:21,A座-闸机,星云科技/用户增长中心/市场部
30033,严宇,2026-03-17 09:32:07,A座-闸机,星云科技/技术平台中心/数据智能部
030395,韩明涛,2026-04-27 10:41:05,A座-闸机,星云科技/用户增长中心/市场部
30497,沈红敏,2026-03-02 10:43:54,A座-闸机,职能线/行政法务部
030148,王丽斌,2026-03-02 10:10:37,A座-闸机,星云科技/技术平台中心/应用研发部
030157,陶曦,2026-03-17 09:05:44,A座-闸机,星云科技/技术平台/应用研发部
30237,秦曦,2026-04-28 10:46:45,A座-闸机,商业化中心/商业产品部
030052,陶平,2026-04-08 08:48:09,A座-闸机,星云科技/技术平台中心/基础架构部
30257,魏秀,2026-04-22 10:28:09,A座-闸机,星云科技/商业化中心/商业产品部
30028,卫艳,2026-03-25 08:09:26,A座-闸机,星云科技/技术平台中心/基础架构部
30458,杨娟涛,2026-03-17 10:55:21,A座-闸机,星云科技/用户增长中心/市场部
30143,曹浩娜,2026-04-27 09:06:57,A座-闸机,技术平台中心/应用研发部
30456,孙娟娜,2026-03-27 10:31:56,A座-闸机,星云科技/用户增长中心/市场部
30062,陶伟斌,2026-03-02 08:54:16,A座-闸机,技术平台中心/基础架构部
30061,孙敏,2026-03-05 10:14:32,A座-闸机,技术平台中心/数据智能部
030256,金志霞,2026-03-13 09:42:21,A座-闸机,星云科技/商业化中心/销售一部
30259,魏怡斌,2026-04-24 08:18:31,A座-闸机,商业化中心/销售一部
30360,曹浩,2026-04-22 08:11:15,A座-闸机,星云科技/商业化中心/商业产品部
030227,韩勇玉,2026-03-31 10:42:43,A座-闸机,星云科技/商业化中心/商业产品部
30433,严娟,2026-03-30 09:06:07,A座-闸机,星云科技/用户增长中心/市场部
030021,魏萍,2026-03-31 10:28:30,A座-闸机,星云科技/技术平台中心/应用研发部
030360,曹浩,2026-03-09 10:54:49,A座-闸机,商业化中心/商业产品部
030117,许天伟,2026-04-28 10:12:43,A座-闸机,技术平台中心/应用研发部
30277,冯悦,2026-04-21 10:29:22,A座-闸机,星云科技/商业化中心/销售一部
30253,赵磊勇,2026-03-27 10:44:31,A座-闸机,商业化中心/销售二部
30141,魏强,2026-04-24 08:50:11,A座-闸机,星云科技/技术平台/基础架构部
30029,何静强,2026-04-16 08:40:15,A座-闸机,技术平台中心/基础架构部
30029,何静强,2026-03-04 08:36:40,A座-闸机,技术平台中心/基础架构部
30007,吴明英,2026-03-23 09:32:51,A座-闸机,技术平台中心/数据智能部
30100,施娟,2026-04-21 08:59:11,A座-闸机,星云科技/技术平台/数据智能部
30473,何磊,2026-04-27 09:07:23,A座-闸机,星云科技/职能线/财务部
030251,韩平艳,2026-04-26 10:06:16,A座-闸机,星云科技/商业化中心/销售二部
30493,陈志斌,2026-04-01 08:17:17,A座-闸机,星云科技/职能线/行政法务部
30256,金志霞,2026-04-02 09:00:08,A座-闸机,商业化中心/销售一部
30453,卫洋,2026-03-20 09:29:29,A座-闸机,用户增长/内容运营部
30008,金悦,2026-03-02 08:42:12,A座-闸机,星云科技/技术平台/数据智能部
30370,沈芳丽,2026-03-30 10:19:44,A座-闸机,商业化中心/商业产品部
030109,孙玉,2026-04-14 09:48:20,A座-闸机,星云科技/技术平台中心/应用研发部
30027,华曦晨,2026-04-22 10:21:54,A座-闸机,星云科技/技术平台中心/应用研发部
030220,施强,2026-04-22 10:56:52,A座-闸机,商业化中心/商业产品部
30144,孙悦,2026-04-20 09:18:10,A座-闸机,技术平台中心/数据智能部
030229,陶娜,2026-04-15 08:28:49,A座-闸机,商业化中心/销售一部
30234,施英霞,2026-04-20 09:48:59,A座-闸机,商业化中心/商业产品部
30337,许明华,2026-04-23 10:16:46,A座-闸机,商业化中心/销售一部
030289,李敏,2026-03-03 08:48:56,A座-闸机,星云科技/商业化中心/销售二部
030075,施娟伟,2026-04-23 10:46:10,A座-闸机,技术平台中心/数据智能部
30245,陈丽艳,2026-04-29 09:41:13,A座-闸机,星云科技/商业化中心/商业产品部
030276,周晨,2026-04-20 09:06:56,A座-闸机,商业化中心/商业产品部
30520,严欣,2026-04-06 08:41:08,A座-闸机,星云科技/职能线/行政法务部
30136,孔军萍,2026-04-06 09:51:20,A座-闸机,技术平台中心/应用研发部
30263,赵兰强,2026-03-19 10:50:31,A座-闸机,商业化中心/销售一部
030414,褚强,2026-04-22 08:03:53,A座-闸机,用户增长/内容运营部
030424,杨明超,2026-03-18 10:09:40,A座-闸机,用户增长/内容运营部
030325,钱萍敏,2026-04-13 08:40:23,A座-闸机,星云科技/商业化中心/销售二部
30219,郑玉,2026-03-26 08:57:25,A座-闸机,星云科技/商业化中心/销售二部
030030,钱刚,2026-03-04 08:40:12,A座-闸机,星云科技/技术平台/应用研发部
30128,金浩晨,2026-03-16 10:55:09,A座-闸机,星云科技/技术平台中心/基础架构部
030183,王玉,2026-04-22 08:28:52,A座-闸机,星云科技/技术平台中心/基础架构部
30011,褚怡浩,2026-03-10 08:02:09,A座-闸机,星云科技/技术平台/数据智能部
30089,曹欣,2026-04-16 10:05:55,A座-闸机,星云科技/技术平台/应用研发部
30124,曹芳,2026-03-16 08:36:19,A座-闸机,技术平台中心/应用研发部
30287,施斌娟,2026-04-30 10:33:12,A座-闸机,星云科技/商业化中心/销售二部
30071,吕超华,2026-03-17 08:17:56,A座-闸机,星云科技/技术平台/应用研发部
30123,孙英,2026-03-06 09:55:55,A座-闸机,星云科技/技术平台中心/数据智能部
30231,王英兰,2026-03-19 08:43:42,A座-闸机,星云科技/商业化中心/商业产品部
30304,卫娜,2026-03-16 10:24:56,A座-闸机,星云科技/商业化中心/销售一部
30397,王伟,2026-04-21 09:45:25,A座-闸机,用户增长/市场部
30091,施萍,2026-03-10 10:36:12,A座-闸机,星云科技/技术平台中心/基础架构部
030073,严红芳,2026-03-05 09:14:19,A座-闸机,技术平台中心/数据智能部
030304,卫娜,2026-03-09 09:15:35,A座-闸机,商业化中心/销售一部
30252,陶娟,2026-04-30 10:29:38,A座-闸机,商业化中心/商业产品部
30001,华平,2026-03-30 08:11:53,A座-闸机,技术平台中心/数据智能部
030162,何丽伟,2026-03-13 09:33:31,A座-闸机,技术平台中心/应用研发部
30366,陈志,2026-04-01 09:06:40,A座-闸机,商业化中心/销售一部
30302,曹悦,2026-04-16 09:29:31,A座-闸机,星云科技/商业化中心/销售二部
030253,赵磊勇,2026-03-10 10:41:53,A座-闸机,商业化中心/销售二部
30001,华平,2026-03-25 09:00:20,A座-闸机,星云科技/技术平台/数据智能部
030252,陶娟,2026-04-24 10:25:51,A座-闸机,星云科技/商业化中心/商业产品部
30255,陈英磊,2026-03-06 10:44:12,A座-闸机,星云科技/商业化中心/销售二部
30535,赵娟,2026-03-29 13:16:00,A座-闸机,星云科技/职能线
30415,张杰宇,2026-04-26 10:59:23,A座-闸机,用户增长/市场部
30299,钱丽,2026-04-22 09:03:45,A座-闸机,商业化中心/销售二部
30135,卫明,2026-04-17 08:40:36,A座-闸机,技术平台中心/基础架构部
30457,周丽,2026-04-29 10:38:02,A座-闸机,用户增长/内容运营部
030109,孙玉,2026-03-13 09:44:21,A座-闸机,技术平台中心/应用研发部
30217,张秀秀,2026-03-23 10:46:35,A座-闸机,商业化中心/销售一部
030344,曹志,2026-04-03 09:23:28,A座-闸机,星云科技/商业化中心/销售二部
30229,陶娜,2026-03-13 09:19:27,A座-闸机,星云科技/商业化中心/销售一部
030380,孔勇,2026-04-16 09:44:41,A座-闸机,星云科技/用户增长中心/内容运营部
30062,陶伟斌,2026-04-17 09:02:16,A座-闸机,星云科技/技术平台/基础架构部
30220,施强,2026-04-28 08:16:16,A座-闸机,商业化中心/商业产品部
30201,许悦,2026-03-27 10:37:25,A座-闸机,技术平台中心/数据智能部
30520,严欣,2026-04-15 10:06:49,A座-闸机,职能线/行政法务部
030105,郑明洋,2026-03-20 10:02:11,A座-闸机,星云科技/技术平台中心/应用研发部
030193,沈芳敏,2026-03-02 10:17:35,A座-闸机,技术平台中心/数据智能部
030309,许浩敏,2026-04-10 10:41:39,A座-闸机,星云科技/商业化中心/销售一部
30099,何悦天,2026-04-10 08:03:49,A座-闸机,星云科技/技术平台/数据智能部
030243,施伟曦,2026-03-09 10:24:19,A座-闸机,星云科技/商业化中心/销售二部
030486,秦静,2026-03-30 08:37:58,A座-闸机,职能线/财务部
030337,许明华,2026-04-06 08:08:12,A座-闸机,星云科技/商业化中心/销售一部
030357,李霞,2026-04-24 10:00:51,A座-闸机,商业化中心/销售一部
030017,吴秀悦,2026-03-09 09:12:32,A座-闸机,技术平台中心/基础架构部
30008,金悦,2026-03-30 08:56:29,A座-闸机,星云科技/技术平台/数据智能部
30007,吴明英,2026-04-18 09:53:19,A座-闸机,星云科技/技术平台中心/数据智能部
030399,姜娜,2026-03-24 10:02:01,A座-闸机,星云科技/用户增长中心/市场部
30090,韩磊宇,2026-03-05 08:18:19,A座-闸机,星云科技/技术平台/应用研发部
030209,陶斌娜,2026-03-09 08:59:18,A座-闸机,星云科技/技术平台中心/应用研发部
030504,褚红娜,2026-03-30 10:08:00,A座-闸机,职能线/人力资源部
030312,杨芳,2026-03-10 09:55:42,A座-闸机,星云科技/商业化中心/销售二部
30025,沈欣娟,2026-03-11 09:02:38,A座-闸机,技术平台中心/基础架构部
30076,蒋浩敏,2026-04-02 09:15:16,A座-闸机,技术平台中心/基础架构部
30503,李娜,2026-04-22 10:44:35,A座-闸机,职能线/人力资源部
30025,沈欣娟,2026-03-25 08:22:39,A座-闸机,星云科技/技术平台中心/基础架构部
